name,release_date,required_age,price,dlc_count,qtd_user_score,user_score,metacritic_score,achievements,developers,publishers,estimated_owners,min_owners,max_owners,discount,count_lang,count_lang_audio,art_style,main_end_time,Ação,Arcade,Atmosférico,Aventura,Baseado em Turnos,Caótico,Casual,Cinematográfico,Combate,Comédia,Competitivo,Construção,Controle por Movimento,Cooperativo,Corrida,Criação de Personagem,Crossover,Detetive,Difícil,DIY (Faça Você Mesmo),Educacional,Esportes,Estilizado,Estratégia,Exploração,Familiar,Fantasia,Fantasia Sombria,Ficção Científica,Fitness (Exergame),FMV (Full Motion Video),Furtividade (Stealth),Gratuito (Free-to-Play),Guerra,Hack and Slash,Histórico,Ilusão de Ótica,Indie,Isométrico,Jogo de Cartas,Loop Temporal,Luta (Fighting Game),Mecha,Metroidvania,Mistério,Mitologia,Multiplayer,Mundo Aberto,Narrativo,Ótima Trilha Sonora,Party Game,Pixel Art,Plataforma,Poker,Psicodélico,Puzzle,Rail Shooter,Relaxante,Remake,Ritmo,RPG,Roguelite,Sandbox,Shooter,Simulação,Sombrio (Dark),Soulslike,Super-herói,Supernatural,Terror,Toys-to-Life,Voxel
Clair Obscur: Expedition 33,2025/04/24,17.0,49.99,1.0,22166.0,9.6,92.0,55.0,['Sandfall Interactive'],['Kepler Interactive'],4000000,,,20.0,12.0,2.0,Realista,29,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Death Stranding 2: On the Beach,2025/06/26,17.0,69.99,0.0,3253.0,8.8,89.0,55.0,['KOJIMA PRODUCTIONS'],['Sony Interactive Entertainment'],1400000,,,29.0,20.0,12.0,Realista,35,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
Donkey Kong Bananza,2025/07/17,7.0,69.99,1.0,2405.0,8.9,91.0,0.0,['Nintendo EPD'],['Nintendo'],3490000,,,25.0,17.0,13.0,Cartoon,12,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hades II,2025/09/25,13.0,29.99,0.0,997.0,8.6,95.0,50.0,['Supergiant Games'],['Supergiant Games'],3240000,,,20.0,16.0,1.0,Desenhado,30,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
Hollow Knight: Silksong,2025/09/04,7.0,19.99,0.0,5947.0,8.9,90.0,52.0,['Team Cherry'],['Team Cherry'],7000000,,,0.0,10.0,10.0,Desenhado,28,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
Kingdom Come: Deliverance II,2025/02/04,17.0,59.99,10.0,3962.0,8.7,88.0,48.0,['Warhorse Studios'],['Deep Silver'],3340000,,,40.0,15.0,6.0,Realista,55,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
Ghost of Yōtei,2025/10/02,17.0,69.99,1.0,2443.0,8.2,86.0,54.0,['Sucker Punch Productions'],['Sony Interactive Entertainment'],3300000,,,15.0,26.0,11.0,Realista,28,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Silent Hill f,2025/09/25,17.0,69.99,6.0,1591.0,6.8,86.0,56.0,['NeoBards Entertainment'],['Konami Digital Entertainment'],547200,,,20.0,13.0,2.0,Realista,10,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Blue Prince,2025/04/10,10.0,29.99,0.0,755.0,7.8,92.0,16.0,['Dogubomb'],['Raw Fury'],603500,,,34.0,1.0,1.0,Estilizado,10,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BALL X PIT,2025/10/15,12.0,14.99,1.0,116.0,8.7,84.0,63.0,['Kenny Sun'],['Devolver Digital'],862100,,,0.0,10.0,0.0,Pixel Art,8,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Absolum,2025/10/09,12.0,24.99,0.0,125.0,8.3,87.0,38.0,"['Guard Crush Games, Supamonks']",['Dotemu'],222600,,,15.0,12.0,1.0,Realista,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Lego Party,2025/09/30,0.0,39.99,1.0,19.0,9.3,81.0,34.0,['SMG Studio'],['Fictions'],67800,,,10.0,13.0,4.0,LEGO,5,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lego Voyagers,2025/09/15,0.0,24.99,1.0,20.0,7.5,79.0,39.0,['Light Brick Studios'],['Annapurna Interactive'],118800,,,20.0,14.0,0.0,LEGO,12,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mario Kart World,2025/06/05,0.0,79.99,0.0,2882.0,6.9,86.0,0.0,['Nintendo EPD'],['Nintendo'],9570000,,,20.0,16.0,1.0,Cartoon,5,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic Racing: CrossWorlds,2025/09/25,0.0,69.99,6.0,691.0,8.9,82.0,44.0,['Sonic Team'],['SEGA'],324700,,,0.0,14.0,6.0,Cartoon,15,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Split Fiction,2025/03/06,13.0,49.99,1.0,1862.0,8.7,91.0,20.0,['Hazelight Studios'],['Electronic Arts'],5590000,,,20.0,11.0,7.0,Realista,8,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Elden Ring: Shadow of Erdtree,2024/06/20,16.0,39.99,0.0,4306.0,8.2,94.0,0.0,"['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']",10000000,20000000,50000000,0.0,15.0,2.0,Realista,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
